"farm","site","plot","canopy_percent_subplot_1","canopy_percent_subplot_2","legumes_percent_subplot_1","legumes_percent_subplot_2","grass_percent_subplot_1","grass_percent_subplot_2","dot_density_subplot_1","dot_density_subplot_2","other_plants_percent_subplot_1","other_plants_percent_subplot_2","bare_soil_percent_subplot_1","bare_soil_percent_subplot_2","mulch_leaves_per_cover_subplot_1","mulch_leaves_per_cover_subplot_2","thatch_percent_subplot_1","thatch_percent_subplot_2","forage_yield_in_subplot_1","forage_yield_in_subplot_2"
"Blue Hills Foundation","Silvopasture 1","A1","78","27","0","0","0","0","10","10","5","25","0","0","NA","NA","NA","NA","NA","NA"
"Blue Hills Foundation","Silvopasture 1","A2","38","45","0","0","0","0","10","10","50","0","0","0","NA","NA","NA","NA","NA","NA"
"Blue Hills Foundation","Silvopasture 1","A3","42","38","0","0","0","0","10","10","0","0","0","0","NA","NA","NA","NA","NA","NA"
"Blue Hills Foundation","Silvopasture 1","B3","30","51","0","0","0","0","0","0","5","60","0","0","NA","NA","NA","NA","NA","NA"
"Flag Hill Farm","Silvopasture","A1","0","13.8","0","0","20","30","0","0","75","40","0","10","0","0","0","5","18.75","14.75"
"Flag Hill Farm","Silvopasture","A2","0","52.8","0","0","0","20","0","10","95","35","0","15","0","0","0","5","38","4.5"
"Flag Hill Farm","Silvopasture","A3","60.7","78.1","0","0","70","5","0","10","25","25","5","25","0","5","0","0","29.5","2.75"
"Flag Hill Farm","Silvopasture","B1","39.7","56.4","0","0","80","45","2","6","35","10","0","50","0","0","0","0","11","6"
"Flag Hill Farm","Silvopasture","B2","0","28.3","5","5","65","60","0","6","75","5","0","10","0","0","0","5","11.5","8.75"
"Flag Hill Farm","Silvopasture","B3","10","29","0","5","25","50","4","3","80","40","10","5","0","0","10","15","7","6"
"Flag Hill Farm","Reference","A1","0","0","20","40","20","20","7","4","85","65","0","0","0","0","0","0","7.5","8"
"Flag Hill Farm","Reference","A2","0","0","10","50","25","45","8","9","40","5","0","0","0","0","0","0","7.25","1.5"
"Flag Hill Farm","Reference","A3","0","0","35","15","40","10","9","3","10","75","0","0","0","0","5","0","2.5","11.5"
"Flag Hill Farm","Reference","B1","0","0","0","25","50","15","1","6","45","15","0","0","0","0","0","0","16","5.5"
"Flag Hill Farm","Reference","B2","0","0","40","0","60","50","2","2","10","40","10","5","0","0","5","10","9","10"
"Flag Hill Farm","Reference","B3","0","0","20","40","60","30","5","6","20","20","5","5","0","0","5","5","4","4"
"Whole Systems Design","Apple Silvopasture","A1","5.3","24.4","5","0","80","25","5","3","25","65","5","20","0","5","5","5","3.75","15.5"
"Whole Systems Design","Apple Silvopasture","A2","34.8","48.5","0","0","5","20","0","5","90","40","0","10","0","0","5","0","16","3"
"Whole Systems Design","Apple Silvopasture","A3","66","3","0","0","5","50","8","4","75","50","5","0","0","0","0","0","4.25","8.5"
"Whole Systems Design","Apple Silvopasture","B1","16.5","21.1","0","0","80","90","8","2","15","10","5","5","0","0","10","0","4","7"
"Whole Systems Design","Apple Silvopasture","B2","37","57.5","0","0","5","35","6","4","85","40","5","0","5","5","0","5","4","4"
"Whole Systems Design","Apple Silvopasture","B3","8.6","6","0","5","0","70","NA","6","90","20","10","10","0","0","0","5","0","5"
"Whole Systems Design","Seaberry Silvopasture","A1","0","10","5","0","85","10","5","3","10","75","0","5","0","15","0","0","7.5","21.5"
"Whole Systems Design","Seaberry Silvopasture","A2","0.8","0","5","5","95","85","1","3","0","10","5","5","0","0","0","0","9","9"
"Whole Systems Design","Seaberry Silvopasture","A3","0","0","50","5","60","100","7","0","15","5","0","0","0","0","0","0","5.5","11"
"Whole Systems Design","Seaberry Silvopasture","A4","0.6","1.6","10","5","70","70","1","7","20","15","5","5","0","0","0","0","9","7"
"Whole Systems Design","Seaberry Silvopasture","B1","0","0","0","0","85","20","2","1","15","60","0","5","0","0","5","0","10","9"
"Whole Systems Design","Seaberry Silvopasture","B2","0","0","0","15","85","100","4","6","15","25","5","0","0","0","0","0","6.5","5"
"Whole Systems Design","Silvopasture 1","A1","0","0","25","0","50","85","5","4","5","10","10","5","0","0","0","0","9","3.5"
"Whole Systems Design","Silvopasture 1","A2","0","99","0","0","60","0","6","10","20","0","5","20","0","80","15","0","4","0"
"Whole Systems Design","Silvopasture 1","A3","80.3","0","0","35","0","45","10","1","0","5","0","0","90","0","0","0","0","8.5"
"Whole Systems Design","Silvopasture 1","B1","83.8","74","0","0","15","95","8","4","10","5","0","0","15","5","40","15","3","5.5"
"Whole Systems Design","Silvopasture 1","B3","11.7","0","10","5","20","90","9","7","65","5","5","0","0","0","5","5","3","5"
"Blue Hills Foundation","Silvopasture 1","B1","54.6","40.3","0","0","0","0","6","7","40","30","0","0","75","85","0","0","8.5","8.5"
"Blue Hills Foundation","Silvopasture 1","B2","38.4","64.1","0","0","0","0","10","10","10","40","0","5","90","60","0","0","0","1.5"
"Blue Hills Foundation","Reference","A1","37.9","54.9","0","0","0","0","7","7","40","40","0","5","20","50","0","0","6","10"
"Blue Hills Foundation","Reference","A2","26.8","53.2","0","0","5","0","10","8","20","50","5","0","60","60","0","0","2","5"
"Blue Hills Foundation","Reference","A3","69.5","15.5","0","0","0","0","3","10","60","5","0","0","40","20","0","0","6.5","4"
"Blue Hills Foundation","Reference","B1","22.2","38.6","0","0","0","0","7","10","5","5","0","0","85","90","0","0","1.5","2.5"
"Blue Hills Foundation","Reference","B2","18.3","27.1","0","0","0","0","10","10","10","10","0","0","85","95","0","0","2.5","4.25"
"Blue Hills Foundation","Reference","B3","8.5","44.1","0","0","0","0","10","9","25","20","0","0","75","65","0","0","0.75","5.5"
"Howling Wolf","Silvopasture","A1","0","","0","","35","","5","","55","","5","","0","","5","","6",""
"Howling Wolf","Silvopasture","A2","0","","5","","40","","7","","50","","0","","0","","5","","5",""
"Howling Wolf","Silvopasture","A3","0","","5","","80","","3","","10","","0","","0","","5","","5",""
"Howling Wolf","Silvopasture","A4","0","","5","","60","","3","","25","","0","","0","","5","","4.25",""
"Howling Wolf","Silvopasture","B1","0","","0","","15","","1","","75","","5","","0","","5","","15",""
"Howling Wolf","Silvopasture","B2","0","","0","","5","","1","","90","","0","","0","","5","","10",""
"Common Hill Farm","Silvopasture","A1","20.9","","0","","20","","7","","70","","10","","5","","0","","3",""
"Common Hill Farm","Silvopasture","A2","44.1","","0","","10","","10","","35","","0","","25","","10","","9",""
"Common Hill Farm","Silvopasture","A3","73.3","","10","","15","","10","","35","","0","","5","","75","","2.5",""
"Common Hill Farm","Silvopasture","B1","5.4","","5","","80","","6","","10","","0","","5","","20","","10",""
"Common Hill Farm","Silvopasture","B2","8.6","","1","","50","","8","","45","","0","","5","","5","","5.8",""
"Common Hill Farm","Silvopasture","B3","44.5","","5","","25","","10","","45","","0","","35","","5","","2",""
"Common Hill Farm","Reference","A1","56.1","","0","","0","","10","","15","","5","","75","","0","","2.8",""
"Common Hill Farm","Reference","A2","81","","0","","0","","4","","85","","0","","90","","0","","12",""
"Common Hill Farm","Reference","A3","67.5","","0","","25","","9","","15","","0","","80","","10","","3.5",""
"Common Hill Farm","Reference","B1","68.1","","0","","0","","4","","90","","0","","95","","0","","12",""
"Common Hill Farm","Reference","B2","63.5","","0","","0","","10","","15","","0","","95","","0","","3.5",""
"Common Hill Farm","Reference","B3","52.1","","0","","5","","10","","55","","0","","90","","5","","4.5",""
"Quill's End","Silvopasture","A1","12.3","","0","","15","","6","","90","","0","","0","","5","","8.5",""
"Quill's End","Silvopasture","A2","30.4","","0","","5","","7","","50","","5","","30","","5","","2",""
"Quill's End","Silvopasture","A3","13.9","","0","","70","","8","","4","","0","","5","","10","","9.5",""
"Quill's End","Silvopasture","B1","5.33","11.6","0","0","95","95","6","4","5","5","0","0","5","0","20","10","14.5","12.5"
"Quill's End","Silvopasture","B2","30.4","","0","","75","","9","","5","","10","","5","","15","","1.5",""
"Quill's End","Silvopasture","B3","68.3","","0","","65","","6","","10","","0","","20","","5","","3.75",""
"Quill's End","Reference","A1","68.1","","0","","5","","8","","25","","0","","75","","0","","6.75",""
"Quill's End","Reference","A2","45.14","","0","","5","","8","","20","","20","","5","","10","","6.25",""
"Quill's End","Reference","B1","60.9","","0","","0","","10","","40","","0","","75","","0","","4",""
"Quill's End","Reference","B2","54.6","","0","","0","","8","","80","","0","","15","","0","","6",""
"Big River Chestnuts","Alley Cropping","A1","0","0","50","5","100","95","NA","NA","5","5","0","0","NA","NA","NA","5","17","2"
"Big River Chestnuts","Alley Cropping","A2","28.1","0","10","25","80","5","NA","NA","5","50","0","0","NA","NA","5","25","4","10"
"Big River Chestnuts","Alley Cropping","A3","0","0","0","5","25","5","NA","NA","60","20","0","0","NA","NA","10","30","8","2"
"Big River Chestnuts","Alley Cropping","B1","0","0","15","5","100","80","NA","NA","5","20","0","5","NA","NA","5","5","2","9.5"
"Big River Chestnuts","Alley Cropping","B2","0","0","70","0","5","95","NA","NA","20","15","0","0","NA","NA","0","2.3","11","4.5"
"Big River Chestnuts","Alley Cropping","B3","59.2","0","5","30","95","55","0","NA","0","10","5","0","NA","NA","NA","5","2","5"
"Big River Chestnuts","Silvopasture","A1","0","0","5","5","95","90","NA","NA","5","0","0","0","NA","NA","5","5","2.5","2.5"
